id;set;set_code;name;number;rarity;tcg_url;variation
58;Base Set;bas;Poliwag;59;Common;https://shop.tcgplayer.com/pokemon/base-set/poliwag;Unlimited
59;Base Set;bas;Ponyta;60;Common;https://shop.tcgplayer.com/pokemon/base-set/ponyta;Unlimited
60;Base Set;bas;Rattata;61;Common;https://shop.tcgplayer.com/pokemon/base-set/rattata;Unlimited
61;Base Set;bas;Sandshrew;62;Common;https://shop.tcgplayer.com/pokemon/base-set/sandshrew;Unlimited
62;Base Set;bas;Squirtle;63;Common;https://shop.tcgplayer.com/pokemon/base-set/squirtle;Unlimited
63;Base Set;bas;Starmie;64;Common;https://shop.tcgplayer.com/pokemon/base-set/starmie;Unlimited
64;Base Set;bas;Staryu;65;Common;https://shop.tcgplayer.com/pokemon/base-set/staryu;Unlimited
65;Base Set;bas;Tangela;66;Common;https://shop.tcgplayer.com/pokemon/base-set/tangela;Unlimited
66;Base Set;bas;Voltorb;67;Common;https://shop.tcgplayer.com/pokemon/base-set/voltorb;Unlimited
67;Base Set;bas;Vulpix;68;Common;https://shop.tcgplayer.com/pokemon/base-set/vulpix;Unlimited
68;Base Set;bas;Weedle;69;Common;https://shop.tcgplayer.com/pokemon/base-set/weedle;Unlimited
69;Base Set;bas;Clefairy Doll;70;Rare;https://shop.tcgplayer.com/pokemon/base-set/clefairy-doll;Unlimited
70;Base Set;bas;Computer Search;71;Rare;https://shop.tcgplayer.com/pokemon/base-set/computer-search;Unlimited
71;Base Set;bas;Devolution Spray;72;Rare;https://shop.tcgplayer.com/pokemon/base-set/devolution-spray;Unlimited
72;Base Set;bas;Imposter Professor Oak;73;Rare;https://shop.tcgplayer.com/pokemon/base-set/imposter-professor-oak;Unlimited
73;Base Set;bas;Item Finder;74;Rare;https://shop.tcgplayer.com/pokemon/base-set/item-finder;Unlimited
74;Base Set;bas;Lass;75;Rare;https://shop.tcgplayer.com/pokemon/base-set/lass;Unlimited
75;Base Set;bas;Pokemon Breeder;76;Rare;https://shop.tcgplayer.com/pokemon/base-set/pokemon-breeder;Unlimited
76;Base Set;bas;Pokemon Trader;77;Rare;https://shop.tcgplayer.com/pokemon/base-set/pokemon-trader;Unlimited
77;Base Set;bas;Scoop Up;78;Rare;https://shop.tcgplayer.com/pokemon/base-set/scoop-up;Unlimited
78;Base Set;bas;Super Energy Removal;79;Rare;https://shop.tcgplayer.com/pokemon/base-set/super-energy-removal;Unlimited
79;Base Set;bas;Defender;80;Uncommon;https://shop.tcgplayer.com/pokemon/base-set/defender;Unlimited
80;Base Set;bas;Energy Retrieval;81;Uncommon;https://shop.tcgplayer.com/pokemon/base-set/energy-retrieval;Unlimited
81;Base Set;bas;Full Heal;82;Uncommon;https://shop.tcgplayer.com/pokemon/base-set/full-heal;Unlimited
